categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Additifs alimentaires|La Droguerie Écologique|Bicarbonate Soude Alimentaire|b|Bicarbonate de sodium : 99 % minimum.|0|0|0||0|0|||||||||||||||||0||E500 - Carbonates de sodium,E500ii - Carbonate acide de sodium|
Additifs alimentaires|La Patelière|Perles argentées|d|Sucre, amidon de riz et de maïs, sirop de glucose, arôme, colorant : argent.|1671|0.5|91.2||0.5|0.0001|||||||||||||||||0||E174 - Argent|
Additifs alimentaires|Laboratoires Vitarmonyl|Levure de bière Vitalité Beauté|a|Levure de bière; agent de charge : sorbitol ; vitamines : B3. B5. B12. B6. B2. B1. B9. B8 : anti-agglomérant : sels de magnésium d'acides gras.|1381|3.08|0|0|32.3|0||||||0.0011|0.0014|0.016|0.0014|0.0002|||||||0||E420 - Sorbitol,E420i - Sorbitol,E470b - Sels de magnésium d'acides gras|
Additifs alimentaires|Lagrange|Aromatisation pour yaourtière arôme vanille|d|Sucre, _lait_ écrémé en poudre, arôme naturel de vanille.|1660|0.1|91.1||5.4|0.2|||||||||||||||||0|lait||
Additifs alimentaires|Lesaffre|Levure Déshydratée|b|Levure sèche dite de boulanger, émulsifiant :monostearate|1632|8|0||50|0|||||||||||||||||0||E491 - Monostéarate de sorbitane|
Additifs alimentaires|Moulin des Moines,Naturaline|Levure de bière maltee|a|Levure de bière, malt d'_orge_.|1443|4.5|0|22.5|47|0.499999999999999|||||||||||||||||0|orge||
Additifs alimentaires|Priméal|Agar-agar|c|Agar-agar|823|0.1|0.4||1.1|0.25|||||||||||||||||0||E406 - Agar-agar|
Conserves|Carrefour|Mélange de 4 champignons|b|Champignons [Champignons de Paris17 %, Bolets jaunes17 %, Pleurotes11.5 %, Pholiotes11.5 %], eau, sel.|94|0.5|0|3.7|1.7|1|||||||||||||||||0|||
Conserves|Carrefour|Flageolets Extra fins|a|Flageolets verts extra-fins, eau, sel.|330|0.5|0.5|5.8|4.8|0.5|||||||||||||||||0|||
Conserves|Carrefour|Foie Gras de Canard Entier du Sud-Ouest|e|Foie gras de canard du Sud-Ouest, sel, poivres.|2241|56|0.9|0.5|7.5|1.3|||||||||||||||||0|||
